t_s,leg,state,phase_elapsed_s,cmd_vx,cmd_vy,cmd_wz,raw_vx,raw_vy,raw_wz,est_x,est_y,est_yaw_deg,event
0.051,0,DRIVE,0.051,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.102,0,DRIVE,0.102,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.152,0,DRIVE,0.152,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.201,0,DRIVE,0.201,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.252,0,DRIVE,0.252,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.301,0,DRIVE,0.301,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.351,0,DRIVE,0.351,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.401,0,DRIVE,0.402,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.452,0,DRIVE,0.452,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.501,0,DRIVE,0.501,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.552,0,DRIVE,0.552,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.601,0,DRIVE,0.601,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.651,0,DRIVE,0.651,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.701,0,DRIVE,0.702,0.300,0.000,0.000,0.240,0.004,-0.102,0.000,0.000,0.0,
0.752,0,DRIVE,0.752,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.802,0,DRIVE,0.802,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.851,0,DRIVE,0.851,0.300,0.000,0.000,0.240,0.004,-0.102,0.000,0.000,0.0,
0.901,0,DRIVE,0.901,0.300,0.000,0.000,0.029,0.009,0.000,0.000,0.000,0.0,
0.951,0,DRIVE,0.952,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
1.004,0,DRIVE,1.004,0.300,0.000,0.000,0.029,0.009,0.000,0.000,0.000,0.0,
1.051,0,DRIVE,1.051,0.300,0.000,0.000,0.240,0.004,-0.102,0.000,0.000,0.0,
1.103,0,DRIVE,1.103,0.300,0.000,0.000,0.053,0.004,-0.034,0.000,0.000,0.0,
1.151,0,DRIVE,1.151,0.300,0.000,0.000,0.098,0.000,0.000,0.000,0.000,0.0,
1.201,0,DRIVE,1.201,0.300,0.000,0.000,0.171,0.004,-0.102,0.000,0.000,0.0,
1.251,0,DRIVE,1.251,0.300,0.000,0.000,0.240,0.004,-0.102,0.000,0.000,0.0,
