t_s,leg,state,phase_elapsed_s,cmd_vx,cmd_vy,cmd_wz,raw_vx,raw_vy,raw_wz,est_x,est_y,est_yaw_deg,event
0.052,0,DRIVE,0.052,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.103,0,DRIVE,0.103,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.151,0,DRIVE,0.151,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.201,0,DRIVE,0.201,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.251,0,DRIVE,0.252,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.304,0,DRIVE,0.304,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.352,0,DRIVE,0.353,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.402,0,DRIVE,0.402,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.451,0,DRIVE,0.451,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.501,0,DRIVE,0.501,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.553,0,DRIVE,0.553,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.602,0,DRIVE,0.602,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.651,0,DRIVE,0.651,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.701,0,DRIVE,0.702,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.751,0,DRIVE,0.751,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.802,0,DRIVE,0.803,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.853,0,DRIVE,0.853,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.901,0,DRIVE,0.901,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.951,0,DRIVE,0.951,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
1.003,0,DRIVE,1.004,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
1.051,0,DRIVE,1.052,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
1.101,0,DRIVE,1.102,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
1.152,0,DRIVE,1.152,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
1.201,0,DRIVE,1.201,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
1.251,0,DRIVE,1.251,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
1.301,0,DRIVE,1.301,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
1.351,0,DRIVE,1.351,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
1.402,0,DRIVE,1.402,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
1.451,0,DRIVE,1.451,0.300,0.000,0.000,0.181,-0.004,0.034,0.000,0.000,0.0,
1.502,0,DRIVE,1.502,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
1.551,0,DRIVE,1.551,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
1.601,0,DRIVE,1.601,0.300,0.000,0.000,0.245,-0.009,0.068,0.000,0.000,0.0,
1.652,0,DRIVE,1.652,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
1.701,0,DRIVE,1.702,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
1.751,0,DRIVE,1.751,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
1.801,0,DRIVE,1.802,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
1.851,0,DRIVE,1.852,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
1.901,0,DRIVE,1.902,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
1.951,0,DRIVE,1.951,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
2.004,0,DRIVE,2.004,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
2.051,0,DRIVE,2.052,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
2.102,0,DRIVE,2.102,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
2.151,0,DRIVE,2.151,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
2.201,0,DRIVE,2.201,0.300,0.000,0.000,0.328,0.024,-0.102,0.000,0.000,0.0,
2.251,0,DRIVE,2.251,0.300,0.000,0.000,0.245,-0.009,0.068,0.000,0.000,0.0,
2.301,0,DRIVE,2.301,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
2.352,0,DRIVE,2.352,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
2.403,0,DRIVE,2.403,0.300,0.000,0.000,0.245,-0.009,0.068,0.000,0.000,0.0,
2.453,0,DRIVE,2.453,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
2.501,0,DRIVE,2.502,0.300,0.000,0.000,0.245,-0.009,0.068,0.000,0.000,0.0,
2.553,0,DRIVE,2.553,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
2.601,0,DRIVE,2.601,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
2.652,0,DRIVE,2.652,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
2.702,0,DRIVE,2.702,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
2.751,0,DRIVE,2.751,0.300,0.000,0.000,0.294,0.019,0.068,0.000,0.000,0.0,
2.802,0,DRIVE,2.802,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
2.851,0,DRIVE,2.851,0.300,0.000,0.000,0.294,0.019,0.068,0.000,0.000,0.0,
2.902,0,DRIVE,2.903,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
2.951,0,DRIVE,2.952,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
3.003,0,DRIVE,3.004,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
3.052,0,DRIVE,3.053,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
3.101,0,DRIVE,3.101,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
3.151,0,DRIVE,3.151,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
3.201,0,DRIVE,3.201,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
3.251,0,DRIVE,3.251,0.300,0.000,0.000,0.245,-0.009,0.068,0.000,0.000,0.0,
3.301,0,DRIVE,3.301,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
3.353,0,DRIVE,3.353,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.0,FIN_DRIVE_leg0
3.354,0,STOP_BEFORE_SPIN,0.001,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.0,
3.401,0,STOP_BEFORE_SPIN,0.048,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.0,
3.452,0,STOP_BEFORE_SPIN,0.099,0.000,0.000,0.000,0.245,-0.009,0.068,1.000,0.000,0.0,
3.502,0,STOP_BEFORE_SPIN,0.149,0.000,0.000,0.000,0.294,0.019,0.068,1.000,0.000,0.0,
3.551,0,STOP_BEFORE_SPIN,0.198,0.000,0.000,0.000,0.245,-0.009,0.068,1.000,0.000,0.0,
3.603,0,STOP_BEFORE_SPIN,0.250,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.0,INICIO_DRIFT_leg0
3.604,0,DRIFT,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.0,
3.652,0,DRIFT,0.049,0.000,-0.250,3.000,0.000,0.000,0.000,1.000,0.000,0.0,
3.702,0,DRIFT,0.098,0.000,-0.250,3.000,0.000,0.000,0.000,1.000,0.000,0.0,
3.751,0,DRIFT,0.148,0.000,-0.250,3.000,0.294,0.019,0.068,1.000,0.000,0.0,
3.802,0,DRIFT,0.199,0.000,-0.250,3.000,0.294,0.019,0.068,1.000,0.000,0.0,
3.851,0,DRIFT,0.248,0.000,-0.250,3.000,0.294,0.019,0.068,1.000,0.000,0.0,
3.901,0,DRIFT,0.298,0.000,-0.250,3.000,0.294,0.019,0.068,1.000,0.000,0.0,
3.952,0,DRIFT,0.349,0.000,-0.250,3.000,0.000,0.000,0.000,1.000,0.000,0.0,
4.001,0,DRIFT,0.398,0.000,-0.250,3.000,0.314,0.000,-0.068,1.000,0.000,0.0,
4.052,0,DRIFT,0.449,0.000,-0.250,3.000,0.000,0.000,0.000,1.000,0.000,0.0,
4.101,0,DRIFT,0.498,0.000,-0.250,3.000,0.314,0.000,-0.068,1.000,0.000,0.0,
4.151,0,DRIFT,0.548,0.000,-0.250,3.000,0.314,0.000,-0.068,1.000,0.000,0.0,
4.201,0,DRIFT,0.598,0.000,-0.250,3.000,0.314,0.000,-0.068,1.000,0.000,0.0,
4.251,0,DRIFT,0.648,0.000,-0.250,3.000,0.000,0.000,0.000,1.000,0.000,0.0,
4.301,0,DRIFT,0.698,0.000,-0.250,3.000,0.294,0.019,0.068,1.000,0.000,0.0,
4.352,0,DRIFT,0.748,0.000,-0.250,3.000,0.314,0.000,-0.068,1.000,0.000,0.0,
4.402,0,DRIFT,0.799,0.000,-0.250,3.000,0.000,0.000,0.000,1.000,0.000,0.0,
4.451,0,DRIFT,0.848,0.000,-0.250,3.000,0.000,0.000,0.000,1.000,0.000,0.0,
4.501,0,DRIFT,0.898,0.000,-0.250,3.000,0.000,0.000,0.000,1.000,0.000,0.0,
4.551,1,DRIFT,0.948,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,90.0,FIN_DRIFT_leg0_dur0.95s
4.554,1,STOP_BEFORE_DRIVE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,90.0,
4.601,1,STOP_BEFORE_DRIVE,0.047,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,90.0,
4.651,1,STOP_BEFORE_DRIVE,0.097,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,90.0,
4.702,1,STOP_BEFORE_DRIVE,0.148,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,90.0,
4.751,1,STOP_BEFORE_DRIVE,0.197,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,90.0,
4.801,1,STOP_BEFORE_DRIVE,0.248,0.000,0.000,0.000,0.314,0.000,-0.068,1.000,0.000,90.0,
4.852,1,STOP_BEFORE_DRIVE,0.298,0.000,0.000,0.000,0.314,0.000,-0.068,1.000,0.000,90.0,
4.901,1,STOP_BEFORE_DRIVE,0.347,0.000,0.000,0.000,0.314,0.000,-0.068,1.000,0.000,90.0,
4.951,1,STOP_BEFORE_DRIVE,0.398,0.000,0.000,0.000,0.314,0.000,-0.068,1.000,0.000,90.0,
5.001,1,STOP_BEFORE_DRIVE,0.447,0.000,0.000,0.000,0.314,0.000,-0.068,1.000,0.000,90.0,
5.051,1,STOP_BEFORE_DRIVE,0.497,0.000,0.000,0.000,0.314,0.000,-0.068,1.000,0.000,90.0,
5.101,1,STOP_BEFORE_DRIVE,0.547,0.000,0.000,0.000,0.314,-0.009,0.000,1.000,0.000,90.0,
5.151,1,STOP_BEFORE_DRIVE,0.598,0.000,0.000,0.000,0.314,0.000,-0.068,1.000,0.000,90.0,
5.202,1,STOP_BEFORE_DRIVE,0.648,0.000,0.000,0.000,0.314,0.000,-0.068,1.000,0.000,90.0,
5.252,1,STOP_BEFORE_DRIVE,0.698,0.000,0.000,0.000,0.314,0.000,-0.068,1.000,0.000,90.0,
5.301,1,STOP_BEFORE_DRIVE,0.748,0.000,0.000,0.000,-0.063,-0.014,0.649,1.000,0.000,90.0,
5.351,1,STOP_BEFORE_DRIVE,0.798,0.000,0.000,0.000,0.314,-0.009,0.000,1.000,0.000,90.0,
5.401,1,STOP_BEFORE_DRIVE,0.848,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,90.0,
5.451,1,STOP_BEFORE_DRIVE,0.897,0.000,0.000,0.000,-0.068,0.058,0.956,1.000,0.000,90.0,
5.501,1,STOP_BEFORE_DRIVE,0.947,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,90.0,
5.551,1,STOP_BEFORE_DRIVE,0.998,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,90.0,
5.601,1,DRIVE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,90.0,
5.652,1,DRIVE,0.051,0.300,0.000,0.000,0.000,0.000,0.000,1.000,0.000,90.0,
5.702,1,DRIVE,0.101,0.300,0.000,0.000,0.314,-0.009,0.000,1.000,0.000,90.0,
5.751,1,DRIVE,0.150,0.300,0.000,0.000,0.314,0.000,-0.068,1.000,0.000,90.0,
5.802,1,DRIVE,0.201,0.300,0.000,0.000,0.314,-0.009,0.000,1.000,0.000,90.0,
5.851,1,DRIVE,0.250,0.300,0.000,0.000,0.314,0.000,-0.068,1.000,0.000,90.0,
5.903,1,DRIVE,0.302,0.300,0.000,0.000,0.000,0.000,0.000,1.000,0.000,90.0,
5.951,1,DRIVE,0.351,0.300,0.000,0.000,0.314,-0.009,0.000,1.000,0.000,90.0,
6.002,1,DRIVE,0.401,0.300,0.000,0.000,0.000,0.000,0.000,1.000,0.000,90.0,
6.051,1,DRIVE,0.450,0.300,0.000,0.000,0.314,0.000,-0.068,1.000,0.000,90.0,
6.102,1,DRIVE,0.501,0.300,0.000,0.000,0.000,0.000,0.000,1.000,0.000,90.0,
6.151,1,DRIVE,0.551,0.300,0.000,0.000,0.314,-0.009,0.000,1.000,0.000,90.0,
6.202,1,DRIVE,0.601,0.300,0.000,0.000,-0.068,0.058,0.956,1.000,0.000,90.0,
6.251,1,DRIVE,0.650,0.300,0.000,0.000,0.000,0.000,0.000,1.000,0.000,90.0,
6.301,1,DRIVE,0.700,0.300,0.000,0.000,0.000,0.000,0.000,1.000,0.000,90.0,
6.352,1,DRIVE,0.751,0.300,0.000,0.000,0.314,0.000,-0.068,1.000,0.000,90.0,
6.402,1,DRIVE,0.802,0.300,0.000,0.000,0.000,0.000,0.000,1.000,0.000,90.0,
6.452,1,DRIVE,0.851,0.300,0.000,0.000,0.000,0.000,0.000,1.000,0.000,90.0,
6.501,1,DRIVE,0.900,0.300,0.000,0.000,0.000,0.000,0.000,1.000,0.000,90.0,
6.551,1,DRIVE,0.950,0.300,0.000,0.000,0.000,0.000,0.000,1.000,0.000,90.0,
6.603,1,DRIVE,1.002,0.300,0.000,0.000,0.000,0.000,0.000,1.000,0.000,90.0,
6.651,1,DRIVE,1.050,0.300,0.000,0.000,0.000,0.000,0.000,1.000,0.000,90.0,
6.701,1,DRIVE,1.100,0.300,0.000,0.000,0.000,0.000,0.000,1.000,0.000,90.0,
6.751,1,DRIVE,1.150,0.300,0.000,0.000,-0.068,0.058,0.956,1.000,0.000,90.0,
6.801,1,DRIVE,1.201,0.300,0.000,0.000,0.000,0.000,0.000,1.000,0.000,90.0,
6.852,1,DRIVE,1.251,0.300,0.000,0.000,0.078,-0.009,0.068,1.000,0.000,90.0,
6.901,1,DRIVE,1.301,0.300,0.000,0.000,0.000,0.000,0.000,1.000,0.000,90.0,
6.951,1,DRIVE,1.350,0.300,0.000,0.000,0.000,0.000,0.000,1.000,0.000,90.0,
7.002,1,DRIVE,1.401,0.300,0.000,0.000,0.000,0.000,0.000,1.000,0.000,90.0,
7.051,1,DRIVE,1.450,0.300,0.000,0.000,-0.068,0.058,0.956,1.000,0.000,90.0,
7.102,1,DRIVE,1.501,0.300,0.000,0.000,0.000,0.000,0.000,1.000,0.000,90.0,
7.151,1,DRIVE,1.551,0.300,0.000,0.000,0.000,0.000,0.000,1.000,0.000,90.0,
7.201,1,DRIVE,1.600,0.300,0.000,0.000,0.000,0.000,0.000,1.000,0.000,90.0,
7.251,1,DRIVE,1.650,0.300,0.000,0.000,0.000,0.000,0.000,1.000,0.000,90.0,
7.301,1,DRIVE,1.700,0.300,0.000,0.000,0.000,0.000,0.000,1.000,0.000,90.0,
7.351,1,DRIVE,1.750,0.300,0.000,0.000,0.000,0.000,0.000,1.000,0.000,90.0,
7.401,1,DRIVE,1.800,0.300,0.000,0.000,-0.068,0.058,0.956,1.000,0.000,90.0,
7.452,1,DRIVE,1.851,0.300,0.000,0.000,0.000,0.000,0.000,1.000,0.000,90.0,
7.502,1,DRIVE,1.901,0.300,0.000,0.000,0.250,-0.004,-0.102,1.000,0.000,90.0,
7.551,1,DRIVE,1.950,0.300,0.000,0.000,0.000,0.000,0.000,1.000,0.000,90.0,
7.603,1,DRIVE,2.003,0.300,0.000,0.000,0.000,0.000,0.000,1.000,0.000,90.0,
7.651,1,DRIVE,2.051,0.300,0.000,0.000,0.000,0.000,0.000,1.000,0.000,90.0,
7.701,1,DRIVE,2.101,0.300,0.000,0.000,0.000,0.000,0.000,1.000,0.000,90.0,
7.751,1,DRIVE,2.150,0.300,0.000,0.000,0.078,-0.009,0.068,1.000,0.000,90.0,
7.801,1,DRIVE,2.200,0.300,0.000,0.000,0.358,-0.014,-0.102,1.000,0.000,90.0,
7.852,1,DRIVE,2.251,0.300,0.000,0.000,-0.068,0.058,0.956,1.000,0.000,90.0,
7.902,1,DRIVE,2.301,0.300,0.000,0.000,0.220,0.004,-0.034,1.000,0.000,90.0,
7.951,1,DRIVE,2.350,0.300,0.000,0.000,0.000,0.000,0.000,1.000,0.000,90.0,
8.001,1,DRIVE,2.400,0.300,0.000,0.000,0.000,0.000,0.000,1.000,0.000,90.0,
8.052,1,DRIVE,2.452,0.300,0.000,0.000,-0.068,0.058,0.956,1.000,0.000,90.0,
8.101,1,DRIVE,2.500,0.300,0.000,0.000,0.078,-0.009,0.068,1.000,0.000,90.0,
8.151,1,DRIVE,2.550,0.300,0.000,0.000,0.000,0.000,0.000,1.000,0.000,90.0,
8.201,1,DRIVE,2.600,0.300,0.000,0.000,-0.068,0.058,0.956,1.000,0.000,90.0,
8.251,1,DRIVE,2.650,0.300,0.000,0.000,-0.068,0.058,0.956,1.000,0.000,90.0,
8.303,1,DRIVE,2.702,0.300,0.000,0.000,0.078,-0.009,0.068,1.000,0.000,90.0,
8.352,1,DRIVE,2.751,0.300,0.000,0.000,0.078,-0.009,0.068,1.000,0.000,90.0,
8.401,1,DRIVE,2.800,0.300,0.000,0.000,0.000,0.000,0.000,1.000,0.000,90.0,
