t_s,leg,state,phase_elapsed_s,cmd_vx,cmd_vy,cmd_wz,raw_vx,raw_vy,raw_wz,est_x,est_y,est_yaw_deg,event
0.051,0,DRIVE,0.051,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.101,0,DRIVE,0.101,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.151,0,DRIVE,0.151,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.201,0,DRIVE,0.202,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.251,0,DRIVE,0.251,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.301,0,DRIVE,0.301,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.351,0,DRIVE,0.351,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.402,0,DRIVE,0.402,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.451,0,DRIVE,0.452,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.502,0,DRIVE,0.502,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.551,0,DRIVE,0.551,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.601,0,DRIVE,0.601,0.300,0.000,0.000,0.112,0.004,0.034,0.000,0.000,0.0,
0.652,0,DRIVE,0.653,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.702,0,DRIVE,0.702,0.300,0.000,0.000,0.024,-0.024,-0.170,0.000,0.000,0.0,
0.751,0,DRIVE,0.751,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.802,0,DRIVE,0.803,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.851,0,DRIVE,0.852,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.902,0,DRIVE,0.903,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.951,0,DRIVE,0.951,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
1.003,0,DRIVE,1.004,0.300,0.000,0.000,0.186,-0.009,-0.068,0.000,0.000,0.0,
1.052,0,DRIVE,1.052,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
1.102,0,DRIVE,1.103,0.300,0.000,0.000,0.152,-0.004,-0.102,0.000,0.000,0.0,
1.151,0,DRIVE,1.152,0.300,0.000,0.000,0.255,-0.039,-0.273,0.000,0.000,0.0,
1.201,0,DRIVE,1.201,0.300,0.000,0.000,0.255,-0.039,-0.273,0.000,0.000,0.0,
1.251,0,DRIVE,1.251,0.300,0.000,0.000,0.049,-0.029,0.068,0.000,0.000,0.0,
1.302,0,DRIVE,1.302,0.300,0.000,0.000,0.019,-0.009,0.000,0.000,0.000,0.0,
1.352,0,DRIVE,1.352,0.300,0.000,0.000,0.255,-0.039,-0.273,0.000,0.000,0.0,
1.402,0,DRIVE,1.402,0.300,0.000,0.000,0.255,-0.039,-0.273,0.000,0.000,0.0,
1.451,0,DRIVE,1.451,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
1.501,0,DRIVE,1.501,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
1.552,0,DRIVE,1.552,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
1.601,0,DRIVE,1.601,0.300,0.000,0.000,0.186,-0.009,-0.136,0.000,0.000,0.0,
1.652,0,DRIVE,1.652,0.300,0.000,0.000,0.186,-0.009,-0.136,0.000,0.000,0.0,
1.701,0,DRIVE,1.701,0.300,0.000,0.000,0.186,-0.009,-0.136,0.000,0.000,0.0,
1.751,0,DRIVE,1.752,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
1.801,0,DRIVE,1.801,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
1.852,0,DRIVE,1.852,0.300,0.000,0.000,0.186,-0.009,-0.068,0.000,0.000,0.0,
1.902,0,DRIVE,1.902,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
1.952,0,DRIVE,1.952,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
2.003,0,DRIVE,2.003,0.300,0.000,0.000,0.250,0.014,-0.102,0.000,0.000,0.0,
