t_s,leg,state,phase_elapsed_s,cmd_vx,cmd_vy,cmd_wz,raw_vx,raw_vy,raw_wz,enc_dist_m,imu_yaw_deg,imu_heading_deg,kf_x,kf_y,kf_yaw_deg,opt_x,opt_y,opt_yaw_deg,lateral_err_m,heading_err_deg,event
0.051,0,WARMUP,0.051,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.0,0.0,0.0000,0.0000,-0.01,0.0000,0.0000,0.04,0.0000,-0.01,
0.102,0,WARMUP,0.102,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.0,0.0,0.0000,0.0000,-0.01,0.0000,-0.0000,-0.03,0.0000,-0.01,
0.152,0,WARMUP,0.153,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.0,0.0,0.0000,0.0000,-0.00,0.0000,0.0000,0.02,0.0000,-0.00,
0.201,0,WARMUP,0.201,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.0,0.0,0.0000,0.0000,0.00,0.0000,0.0000,0.01,0.0000,0.00,
0.251,0,WARMUP,0.251,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.0,0.0,0.0000,0.0000,-0.00,0.0000,0.0000,0.00,0.0000,-0.00,
0.302,0,WARMUP,0.302,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0000,0.0000,0.01,0.0000,0.0000,0.02,0.0000,0.01,
0.363,0,WARMUP,0.364,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0000,0.0000,-0.01,0.0000,0.0000,0.01,0.0000,-0.01,
0.402,0,WARMUP,0.403,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.0000,0.0000,0.06,-0.0001,0.0000,0.10,0.0000,0.06,
0.451,0,WARMUP,0.451,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.0001,0.0000,0.07,-0.0001,0.0000,0.13,0.0000,0.07,
0.501,0,WARMUP,0.502,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.0001,0.0000,0.07,-0.0001,0.0000,0.11,0.0000,0.07,
0.551,0,WARMUP,0.551,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.0001,0.0000,0.07,-0.0001,0.0000,0.11,0.0000,0.07,
0.602,0,WARMUP,0.602,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.0001,0.0000,0.06,-0.0001,0.0000,0.09,0.0000,0.06,
0.651,0,WARMUP,0.651,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.0001,0.0000,0.08,-0.0002,0.0000,0.10,0.0000,0.08,
0.701,0,WARMUP,0.701,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.0001,0.0000,0.07,-0.0002,-0.0000,0.09,0.0000,0.07,
0.752,0,WARMUP,0.752,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.0001,0.0000,0.06,-0.0001,0.0000,0.11,0.0000,0.06,
0.803,0,WARMUP,0.803,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.0001,0.0000,0.07,-0.0002,0.0000,0.08,0.0000,0.07,FIN_WARMUP
0.804,0,DRIVE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.0001,0.0000,0.07,-0.0002,0.0000,0.08,0.0000,0.00,
0.851,0,DRIVE,0.048,0.300,-0.040,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.0001,0.0000,0.07,-0.0001,0.0000,0.09,-0.0000,-0.01,
0.902,0,DRIVE,0.099,0.300,-0.039,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0150,-0.0020,0.06,-0.0002,-0.0000,0.07,-0.0020,-0.01,
0.951,0,DRIVE,0.148,0.300,-0.039,0.001,0.000,0.000,0.000,0.000,0.0,0.0,0.0155,-0.0020,0.00,0.0003,0.0000,-0.07,-0.0020,-0.07,
1.002,0,DRIVE,0.198,0.300,-0.039,0.002,0.000,0.000,0.000,0.000,0.0,0.0,0.0160,-0.0020,-0.01,0.0002,0.0001,-0.05,-0.0021,-0.09,
1.053,0,DRIVE,0.250,0.300,-0.039,0.002,0.000,0.000,0.000,0.000,0.0,0.0,0.0157,-0.0020,-0.06,0.0006,0.0001,-0.08,-0.0020,-0.13,
1.101,0,DRIVE,0.298,0.300,-0.039,0.002,0.000,0.000,0.000,0.000,0.0,0.0,0.0160,-0.0020,-0.04,0.0003,0.0000,-0.10,-0.0020,-0.11,
1.151,0,DRIVE,0.348,0.300,-0.039,0.003,0.000,0.000,0.000,0.000,0.0,0.0,0.0162,-0.0020,-0.09,0.0012,0.0003,-0.10,-0.0020,-0.16,
1.201,0,DRIVE,0.398,0.300,-0.039,0.003,0.000,0.000,0.000,0.000,0.0,0.0,0.0172,-0.0017,-0.10,0.0029,0.0008,-0.21,-0.0017,-0.18,
1.252,0,DRIVE,0.449,0.300,-0.040,0.003,0.000,0.000,0.000,0.000,0.0,0.0,0.0190,-0.0013,-0.12,0.0040,0.0010,-0.21,-0.0013,-0.20,
1.304,0,DRIVE,0.501,0.300,-0.040,0.004,0.000,0.000,0.000,0.000,0.0,0.0,0.0192,-0.0012,-0.15,0.0057,0.0015,-0.24,-0.0012,-0.23,
1.351,0,DRIVE,0.548,0.300,-0.040,0.004,0.000,0.000,0.000,0.000,0.0,0.0,0.0210,-0.0007,-0.13,0.0086,0.0024,-0.22,-0.0007,-0.20,
1.401,0,DRIVE,0.598,0.300,-0.040,0.005,0.000,0.000,0.000,0.000,0.0,0.0,0.0247,0.0006,-0.19,0.0142,0.0042,-0.26,0.0005,-0.26,
1.451,0,DRIVE,0.648,0.300,-0.041,0.003,0.000,0.000,0.000,0.000,0.0,0.0,0.0289,0.0018,-0.12,0.0197,0.0058,-0.03,0.0017,-0.19,
1.503,0,DRIVE,0.699,0.300,-0.041,0.002,0.000,0.000,0.000,0.000,0.0,0.0,0.0326,0.0027,-0.02,0.0210,0.0062,-0.10,0.0027,-0.09,
1.553,0,DRIVE,0.750,0.300,-0.041,0.003,0.000,0.000,0.000,0.000,0.0,0.0,0.0323,0.0029,-0.07,0.0210,0.0062,-0.18,0.0029,-0.15,
1.601,0,DRIVE,0.798,0.300,-0.041,0.005,0.000,0.000,0.000,0.000,0.0,0.0,0.0313,0.0024,-0.20,0.0232,0.0067,-0.45,0.0023,-0.28,
