t_s,leg,state,phase_elapsed_s,cmd_vx,cmd_vy,cmd_wz,raw_vx,raw_vy,raw_wz,enc_dist_m,imu_yaw_deg,imu_heading_deg,kf_x,kf_y,kf_yaw_deg,opt_x,opt_y,opt_yaw_deg,lateral_err_m,heading_err_deg,event
0.051,0,WARMUP,0.051,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.0,0.0,-0.3776,0.1551,-47.95,0.0000,-0.0000,-0.00,0.1551,-47.95,
0.102,0,WARMUP,0.103,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.0,0.0,-0.3699,0.1519,-46.48,0.0000,0.0000,0.00,0.1519,-46.48,
0.151,0,WARMUP,0.151,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.0,0.0,-0.4108,0.1687,-52.44,-0.8703,0.3574,-120.27,0.1687,-52.44,
0.201,0,WARMUP,0.201,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.0,0.0,-0.3698,0.1519,-46.48,-0.8703,0.3574,-120.27,0.1519,-46.48,
0.251,0,WARMUP,0.252,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.0,0.0,-0.3688,0.1515,-46.27,-0.8703,0.3574,-120.27,0.1515,-46.27,
0.301,0,WARMUP,0.301,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.3782,0.1553,-48.05,-0.8703,0.3574,-120.28,0.1553,-48.05,
0.351,0,WARMUP,0.352,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.3854,0.1583,-49.48,-0.8703,0.3574,-120.28,0.1583,-49.48,
0.401,0,WARMUP,0.401,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.3534,0.1452,-45.23,0.0000,-0.0000,-0.00,0.1452,-45.23,
0.451,0,WARMUP,0.451,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.4105,0.1686,-52.40,-0.8703,0.3574,-120.28,0.1686,-52.40,
0.502,0,WARMUP,0.502,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.3568,0.1465,-44.10,-0.8703,0.3574,-120.27,0.1465,-44.10,
0.553,0,WARMUP,0.553,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.3850,0.1581,-49.38,-0.8703,0.3574,-120.27,0.1581,-49.38,
0.602,0,WARMUP,0.602,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.3692,0.1516,-46.37,-0.8703,0.3574,-120.27,0.1516,-46.37,
0.651,0,WARMUP,0.651,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.3880,0.1594,-49.97,-0.8703,0.3574,-120.29,0.1594,-49.97,
0.701,0,WARMUP,0.701,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.3856,0.1584,-49.54,-0.8703,0.3574,-120.28,0.1584,-49.54,
0.752,0,WARMUP,0.752,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.3717,0.1527,-46.85,-0.8703,0.3574,-120.28,0.1527,-46.85,
0.803,0,WARMUP,0.803,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.3881,0.1594,-49.99,-0.8703,0.3574,-120.27,0.1594,-49.99,FIN_WARMUP
0.803,0,DRIVE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.3881,0.1594,-49.99,-0.8703,0.3574,-120.27,0.0000,0.00,
0.851,0,DRIVE,0.048,0.300,-0.121,-0.032,0.000,0.000,0.000,0.000,0.0,0.0,-0.3786,0.1555,-48.17,-0.8703,0.3574,-120.28,0.0048,1.82,
0.902,0,DRIVE,0.099,0.300,-0.120,-0.031,0.000,0.000,0.000,0.000,0.0,0.0,-0.3729,0.1398,-48.23,-0.8703,0.3574,-120.27,-0.0009,1.75,
0.951,0,DRIVE,0.148,0.300,-0.117,0.027,0.000,0.000,0.000,0.000,0.0,0.0,-0.3905,0.1468,-51.52,-0.8703,0.3574,-120.28,-0.0099,-1.54,
1.004,0,DRIVE,0.201,0.300,-0.120,-0.032,0.000,0.000,0.000,0.000,0.0,0.0,-0.3728,0.1395,-48.14,-0.8703,0.3574,-120.27,-0.0010,1.85,
1.054,0,DRIVE,0.251,0.300,-0.131,-0.231,0.000,0.000,0.000,0.000,0.0,0.0,-0.3046,0.1146,-36.73,-0.8703,0.3574,-120.28,0.0351,13.25,
1.103,0,DRIVE,0.300,0.300,-0.117,0.033,0.000,0.000,0.000,0.000,0.0,0.0,-0.3899,0.1459,-51.89,-0.8703,0.3574,-120.27,-0.0101,-1.90,
