t_s,leg,state,phase_elapsed_s,cmd_vx,cmd_vy,cmd_wz,raw_vx,raw_vy,raw_wz,enc_dist_m,imu_yaw_deg,imu_heading_deg,kf_x,kf_y,kf_yaw_deg,opt_x,opt_y,opt_yaw_deg,lateral_err_m,heading_err_deg,event
0.052,0,WARMUP,0.052,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.0,0.0,0.0000,0.0000,-7.90,0.0000,0.0000,0.00,0.0000,0.01,
0.101,0,WARMUP,0.102,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.0,0.0,0.0000,0.0000,-7.90,0.0000,0.0000,0.00,0.0000,0.02,
0.152,0,WARMUP,0.152,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.0,0.0,0.0000,0.0000,-7.90,0.0000,0.0000,0.00,0.0000,0.04,
0.202,0,WARMUP,0.202,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.0,0.1,0.0000,0.0000,-7.90,0.0000,0.0000,0.00,0.0000,0.06,
0.252,0,WARMUP,0.252,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.0,0.1,0.0000,0.0000,-7.90,0.0000,0.0000,0.00,0.0000,0.09,
0.302,0,WARMUP,0.302,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.1,0.0000,0.0000,-7.90,0.0000,0.0000,0.00,0.0000,0.09,
0.352,0,WARMUP,0.352,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.1,0.0000,0.0000,-7.90,0.0000,0.0000,0.00,0.0000,0.13,
0.402,0,WARMUP,0.402,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.1,0.0000,0.0000,-7.90,0.0000,0.0000,0.00,0.0000,0.13,
0.452,0,WARMUP,0.452,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.2,0.0000,0.0000,-7.90,0.0000,0.0000,0.00,0.0000,0.17,
0.502,0,WARMUP,0.502,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.2,0.0000,0.0000,-7.90,0.0000,0.0000,0.00,0.0000,0.20,
0.552,0,WARMUP,0.552,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.2,0.0000,0.0000,-7.90,0.0000,0.0000,0.00,0.0000,0.22,
0.605,0,WARMUP,0.606,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.3,0.0000,0.0000,-7.90,0.0000,0.0000,0.00,0.0000,0.26,
0.652,0,WARMUP,0.652,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.3,0.0000,0.0000,-7.90,0.0000,0.0000,0.00,0.0000,0.26,
0.702,0,WARMUP,0.702,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.3,0.0000,0.0000,-7.90,0.0000,0.0000,0.00,0.0000,0.26,
0.753,0,WARMUP,0.754,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.3,0.0000,0.0000,-7.90,0.0000,0.0000,0.00,0.0000,0.26,
0.806,0,WARMUP,0.806,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.3,0.0000,0.0000,-7.90,0.0000,0.0000,0.00,0.0000,0.26,FIN_WARMUP
0.807,0,DRIVE,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.3,0.0000,0.0000,-7.90,0.0000,0.0000,0.00,0.0000,0.00,
0.852,0,DRIVE,0.046,0.300,0.000,-0.000,0.000,0.000,0.000,0.000,0.0,0.3,0.0000,0.0000,-7.90,0.0000,0.0000,0.00,0.0000,0.02,
0.902,0,DRIVE,0.096,0.300,0.000,-0.000,0.000,0.000,0.000,0.000,0.0,0.3,0.0149,-0.0021,-7.90,0.0000,0.0000,0.00,0.0000,0.03,
0.952,0,DRIVE,0.146,0.300,0.000,-0.001,0.000,0.000,0.000,0.000,0.0,0.3,0.0297,-0.0041,-7.90,0.0000,0.0000,0.00,-0.0000,0.06,
1.002,0,DRIVE,0.196,0.300,0.000,-0.001,0.000,0.000,0.000,0.000,0.0,0.3,0.0446,-0.0062,-7.90,0.0000,0.0000,0.00,-0.0000,0.08,
1.055,0,DRIVE,0.248,0.300,0.000,-0.002,0.000,0.000,0.000,0.000,0.0,0.4,0.0594,-0.0082,-7.90,0.0000,0.0000,0.00,-0.0000,0.10,
1.102,0,DRIVE,0.296,0.300,0.000,-0.002,0.000,0.000,0.000,0.000,0.0,0.4,0.0743,-0.0103,-7.91,0.0000,0.0000,0.00,-0.0000,0.12,
1.152,0,DRIVE,0.346,0.300,0.000,-0.003,0.000,0.000,0.000,0.000,0.0,0.4,0.0892,-0.0124,-7.92,0.0000,0.0000,0.00,-0.0000,0.15,
1.202,0,DRIVE,0.396,0.300,0.000,-0.003,0.000,0.000,0.000,0.000,0.0,0.4,0.1040,-0.0144,-7.92,0.0000,0.0000,0.00,-0.0000,0.16,
1.252,0,DRIVE,0.446,0.300,0.000,-0.003,0.000,0.000,0.000,0.000,0.0,0.4,0.1189,-0.0165,-7.93,0.0000,0.0000,0.00,-0.0000,0.18,
1.305,0,DRIVE,0.499,0.300,0.000,-0.004,0.000,0.000,0.000,0.000,0.0,0.5,0.1337,-0.0186,-7.94,0.0000,0.0000,0.00,-0.0000,0.21,
1.352,0,DRIVE,0.546,0.300,0.000,-0.004,0.000,0.000,0.000,0.000,0.0,0.5,0.1486,-0.0206,-7.95,0.0000,0.0000,0.00,-0.0000,0.24,
1.402,0,DRIVE,0.596,0.300,0.000,-0.004,0.000,0.000,0.000,0.000,0.0,0.5,0.1635,-0.0227,-7.96,0.0000,0.0000,0.00,-0.0001,0.24,
1.452,0,DRIVE,0.646,0.300,0.000,-0.005,0.000,0.000,0.000,0.000,0.0,0.5,0.1784,-0.0248,-7.97,0.0000,0.0000,0.00,-0.0001,0.27,
1.502,0,DRIVE,0.696,0.300,0.000,-0.005,0.000,0.000,0.000,0.000,0.0,0.6,0.1932,-0.0269,-7.99,0.0000,0.0000,0.00,-0.0001,0.30,
1.555,0,DRIVE,0.749,0.300,0.000,-0.005,0.000,0.000,0.000,0.000,0.0,0.6,0.2080,-0.0290,-8.00,0.0000,0.0000,0.00,-0.0001,0.31,
1.602,0,DRIVE,0.796,0.300,0.000,-0.006,0.000,0.000,0.000,0.000,0.0,0.6,0.2229,-0.0311,-8.02,0.0000,0.0000,0.00,-0.0001,0.33,
1.652,0,DRIVE,0.846,0.300,0.000,-0.006,0.000,0.000,0.000,0.000,0.0,0.6,0.2377,-0.0331,-8.03,0.0000,0.0000,0.00,-0.0002,0.35,
