t_s,leg,state,phase_elapsed_s,cmd_vx,cmd_vy,cmd_wz,raw_vx,raw_vy,raw_wz,enc_dist_m,imu_yaw_deg,est_x,est_y,est_yaw_deg,event
0.052,0,WARMUP,0.052,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
0.101,0,WARMUP,0.101,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
0.151,0,WARMUP,0.151,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
0.201,0,WARMUP,0.201,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
0.252,0,WARMUP,0.252,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
0.303,0,WARMUP,0.303,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
0.352,0,WARMUP,0.352,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
0.403,0,WARMUP,0.403,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
0.452,0,WARMUP,0.453,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
0.501,0,WARMUP,0.501,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
0.551,0,WARMUP,0.551,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
0.601,0,WARMUP,0.601,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
0.651,0,WARMUP,0.651,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
0.701,0,WARMUP,0.701,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
0.751,0,WARMUP,0.751,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
0.803,0,WARMUP,0.803,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,FIN_WARMUP
0.804,0,DRIVE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
0.851,0,DRIVE,0.048,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
0.903,0,DRIVE,0.100,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
0.952,0,DRIVE,0.148,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
1.002,0,DRIVE,0.198,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
1.055,0,DRIVE,0.251,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
1.101,0,DRIVE,0.298,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
1.152,0,DRIVE,0.348,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
1.203,0,DRIVE,0.400,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
1.251,0,DRIVE,0.448,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
1.304,0,DRIVE,0.500,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
1.352,0,DRIVE,0.548,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
1.403,0,DRIVE,0.600,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
1.453,0,DRIVE,0.649,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
1.501,0,DRIVE,0.698,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
1.554,0,DRIVE,0.750,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
1.602,0,DRIVE,0.799,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
1.651,0,DRIVE,0.848,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
1.703,0,DRIVE,0.899,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
1.752,0,DRIVE,0.948,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
1.803,0,DRIVE,1.000,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
1.851,0,DRIVE,1.048,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
1.902,0,DRIVE,1.099,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
1.951,0,DRIVE,1.148,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
2.001,0,DRIVE,1.198,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
2.054,0,DRIVE,1.250,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
2.101,0,DRIVE,1.298,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
2.152,0,DRIVE,1.348,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
2.201,0,DRIVE,1.398,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
2.251,0,DRIVE,1.448,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
2.305,0,DRIVE,1.501,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
2.352,0,DRIVE,1.548,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
2.401,0,DRIVE,1.598,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
2.453,0,DRIVE,1.649,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
2.502,0,DRIVE,1.699,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
2.553,0,DRIVE,1.750,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
2.602,0,DRIVE,1.799,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
2.651,0,DRIVE,1.848,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
2.701,0,DRIVE,1.898,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
2.752,0,DRIVE,1.948,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
2.803,0,DRIVE,2.000,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
2.852,0,DRIVE,2.049,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
2.902,0,DRIVE,2.099,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
2.952,0,DRIVE,2.149,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
3.001,0,DRIVE,2.198,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
3.053,0,DRIVE,2.250,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
3.101,0,DRIVE,2.298,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
3.152,0,DRIVE,2.349,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
3.201,0,DRIVE,2.398,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
3.251,0,DRIVE,2.448,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
3.305,0,DRIVE,2.502,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
3.351,0,DRIVE,2.548,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
3.402,0,DRIVE,2.599,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
3.451,0,DRIVE,2.648,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
3.501,0,DRIVE,2.698,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
3.555,0,DRIVE,2.751,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
3.602,0,DRIVE,2.799,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
3.652,0,DRIVE,2.849,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
3.702,0,DRIVE,2.898,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
3.751,0,DRIVE,2.948,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
3.804,0,DRIVE,3.000,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
3.851,0,DRIVE,3.048,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
3.903,0,DRIVE,3.099,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
3.952,0,DRIVE,3.149,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
