t_s,leg,state,phase_elapsed_s,cmd_vx,cmd_vy,cmd_wz,raw_vx,raw_vy,raw_wz,enc_dist_m,imu_yaw_deg,imu_heading_deg,kf_x,kf_y,kf_yaw_deg,opt_x,opt_y,opt_yaw_deg,lateral_err_m,heading_err_deg,event
0.051,0,WARMUP,0.051,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.0,0.0,0.0000,0.0000,4.31,0.0000,0.0000,0.00,0.0000,0.00,
0.101,0,WARMUP,0.101,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.0,0.0,0.0000,0.0000,4.31,0.0000,0.0000,0.00,0.0000,0.00,
0.151,0,WARMUP,0.152,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.0,2.9,0.0000,0.0000,4.31,0.0000,0.0000,0.00,0.0000,2.90,
0.202,0,WARMUP,0.202,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.0,2.9,0.0000,0.0000,4.31,0.0000,0.0000,0.00,0.0000,2.90,
0.253,0,WARMUP,0.253,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.0,8.3,0.0000,0.0000,4.31,0.0000,0.0000,0.00,0.0000,8.34,
0.302,0,WARMUP,0.302,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,13.4,0.0000,0.0000,4.31,0.0000,0.0000,0.00,0.0000,13.41,
0.352,0,WARMUP,0.352,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,16.8,0.0000,0.0000,4.31,0.0000,0.0000,0.00,0.0000,16.78,
0.402,0,WARMUP,0.402,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,16.8,0.0000,0.0000,4.31,0.0000,0.0000,0.00,0.0000,16.78,
0.452,0,WARMUP,0.452,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,22.2,0.0000,0.0000,4.31,0.0000,0.0000,0.00,0.0000,22.22,
0.502,0,WARMUP,0.502,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,22.2,0.0000,0.0000,4.31,0.0000,0.0000,0.00,0.0000,22.22,
0.552,0,WARMUP,0.552,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,26.6,0.0000,0.0000,4.31,0.0000,0.0000,0.00,0.0000,26.64,
0.602,0,WARMUP,0.602,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,27.5,0.0000,0.0000,4.31,0.0000,0.0000,0.00,0.0000,27.50,
0.652,0,WARMUP,0.652,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,27.5,0.0000,0.0000,4.31,0.0000,0.0000,0.00,0.0000,27.50,
0.702,0,WARMUP,0.702,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,33.9,0.0000,0.0000,4.31,0.0000,0.0000,0.00,0.0000,33.90,
0.753,0,WARMUP,0.753,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,37.2,0.0000,0.0000,4.31,0.0000,0.0000,0.00,0.0000,37.24,
0.804,0,WARMUP,0.805,0.000,0.000,0.000,0.024,-0.004,0.990,0.000,0.0,39.4,0.0000,0.0000,4.31,0.0000,0.0000,0.00,0.0000,39.42,FIN_WARMUP
0.805,0,DRIVE,0.001,0.000,0.000,0.000,0.024,-0.004,0.990,0.000,0.0,39.4,0.0000,0.0000,4.31,0.0000,0.0000,0.00,0.0000,0.00,
0.852,0,DRIVE,0.047,0.300,0.000,-0.089,0.024,-0.004,0.990,0.000,0.0,44.5,0.0000,0.0000,4.31,0.0000,0.0000,0.00,0.0000,5.09,
0.902,0,DRIVE,0.097,0.300,0.000,-0.089,0.024,-0.004,0.990,0.000,0.0,44.5,0.0149,0.0011,4.06,0.0000,0.0000,0.00,0.0000,5.09,
