t_s,leg,state,phase_elapsed_s,cmd_vx,cmd_vy,cmd_wz,raw_vx,raw_vy,raw_wz,enc_dist_m,imu_yaw_deg,imu_heading_deg,kf_x,kf_y,kf_yaw_deg,opt_x,opt_y,opt_yaw_deg,lateral_err_m,heading_err_deg,event
0.051,0,WARMUP,0.051,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.0,0.0,0.0000,-0.0000,-0.00,0.0000,-0.0000,-0.01,-0.0000,-0.00,
0.102,0,WARMUP,0.102,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.0,0.0,0.0000,-0.0000,-0.01,0.0000,-0.0000,-0.02,-0.0000,-0.01,
0.151,0,WARMUP,0.151,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.0,0.0,-0.0000,-0.0000,-0.01,-0.0001,-0.0000,-0.02,-0.0000,-0.01,
0.202,0,WARMUP,0.202,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.0,0.0,-0.0001,-0.0001,-0.01,-0.0002,-0.0001,-0.02,-0.0001,-0.01,
0.252,0,WARMUP,0.252,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.0,0.0,-0.0001,-0.0001,-0.01,-0.0002,-0.0000,-0.02,-0.0001,-0.01,
0.301,0,WARMUP,0.301,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.0003,-0.0002,-0.02,-0.0003,-0.0002,-0.02,-0.0002,-0.02,
0.352,0,WARMUP,0.352,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.0003,-0.0002,-0.01,-0.0003,-0.0002,-0.00,-0.0002,-0.01,
0.401,0,WARMUP,0.401,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.0003,-0.0002,-0.00,-0.0003,-0.0002,-0.01,-0.0002,-0.00,
0.452,0,WARMUP,0.452,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.0002,-0.0001,-0.01,-0.0002,-0.0001,-0.02,-0.0001,-0.01,
0.501,0,WARMUP,0.501,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.0001,-0.0001,-0.01,-0.0001,-0.0001,-0.02,-0.0001,-0.01,
0.552,0,WARMUP,0.552,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0000,-0.0000,-0.02,0.0001,0.0000,-0.01,-0.0000,-0.02,
0.601,0,WARMUP,0.601,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0000,0.0000,-0.01,-0.0000,-0.0001,0.00,0.0000,-0.01,
0.652,0,WARMUP,0.652,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.0000,-0.0000,-0.00,0.0000,0.0001,0.00,-0.0000,-0.00,
0.701,0,WARMUP,0.701,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0001,0.0000,-0.01,0.0003,0.0001,-0.01,0.0000,-0.01,
0.752,0,WARMUP,0.752,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0002,0.0001,-0.01,0.0002,0.0001,-0.01,0.0001,-0.01,
0.804,0,WARMUP,0.804,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0000,0.0000,0.01,-0.0001,-0.0000,0.01,0.0000,0.01,FIN_WARMUP
0.805,0,DRIVE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0000,0.0000,0.01,-0.0001,-0.0000,0.01,0.0000,0.00,
0.851,0,DRIVE,0.047,0.200,-0.040,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.0000,-0.0000,-0.00,0.0001,0.0001,-0.01,-0.0000,-0.01,
0.901,0,DRIVE,0.097,0.200,-0.040,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0101,0.0001,-0.01,0.0003,0.0002,-0.03,0.0001,-0.02,
0.951,0,DRIVE,0.147,0.200,-0.040,0.001,0.000,0.000,0.000,0.000,0.0,0.0,0.0107,0.0001,-0.02,0.0002,0.0001,-0.03,0.0001,-0.03,
1.002,0,DRIVE,0.198,0.200,-0.040,0.001,0.000,0.000,0.000,0.000,0.0,0.0,0.0107,0.0001,-0.02,0.0001,0.0000,-0.02,0.0001,-0.02,
1.053,0,DRIVE,0.248,0.200,-0.040,0.001,0.000,0.000,0.000,0.000,0.0,0.0,0.0101,-0.0000,-0.02,0.0000,-0.0000,-0.02,-0.0000,-0.02,
1.101,0,DRIVE,0.297,0.200,-0.040,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0105,-0.0000,-0.01,-0.0000,-0.0000,-0.01,-0.0000,-0.02,
1.152,0,DRIVE,0.347,0.200,-0.040,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0104,-0.0000,0.00,-0.0001,-0.0000,0.01,-0.0000,-0.00,
1.201,0,DRIVE,0.397,0.200,-0.040,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0103,-0.0000,0.00,-0.0001,-0.0001,0.00,-0.0000,-0.01,
1.253,0,DRIVE,0.448,0.200,-0.040,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0108,0.0001,-0.01,0.0005,0.0004,-0.03,0.0001,-0.02,
1.304,0,DRIVE,0.500,0.200,-0.041,-0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0108,0.0004,0.02,0.0003,0.0004,-0.01,0.0004,0.01,
1.352,0,DRIVE,0.548,0.200,-0.040,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0105,0.0002,-0.00,0.0003,0.0003,0.01,0.0002,-0.01,
1.401,0,DRIVE,0.597,0.200,-0.040,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0106,0.0002,-0.00,0.0002,0.0003,0.00,0.0002,-0.01,
1.452,0,DRIVE,0.647,0.200,-0.040,-0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0105,0.0002,0.01,0.0002,0.0002,0.02,0.0002,0.01,
1.501,0,DRIVE,0.697,0.200,-0.040,-0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0105,0.0002,0.02,0.0002,0.0003,0.03,0.0002,0.01,
1.553,0,DRIVE,0.749,0.200,-0.040,-0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0106,0.0002,0.02,0.0002,0.0003,0.04,0.0002,0.02,
1.601,0,DRIVE,0.797,0.200,-0.041,-0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0108,0.0005,0.01,0.0011,0.0010,0.02,0.0005,0.00,
1.652,0,DRIVE,0.847,0.200,-0.043,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0120,0.0015,0.00,0.0022,0.0023,-0.00,0.0015,-0.00,
1.702,0,DRIVE,0.897,0.200,-0.044,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0127,0.0021,0.00,0.0031,0.0030,0.01,0.0020,-0.00,
1.751,0,DRIVE,0.947,0.200,-0.046,-0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0133,0.0030,0.01,0.0042,0.0044,0.00,0.0030,0.00,
1.803,0,DRIVE,0.998,0.200,-0.049,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0147,0.0043,-0.00,0.0067,0.0065,0.01,0.0043,-0.01,
1.851,0,DRIVE,1.047,0.200,-0.055,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0178,0.0076,0.00,0.0108,0.0109,-0.02,0.0076,-0.00,
1.901,0,DRIVE,1.097,0.200,-0.061,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0205,0.0103,0.00,0.0140,0.0143,0.03,0.0103,-0.00,
