t_s,leg,state,phase_elapsed_s,cmd_vx,cmd_vy,cmd_wz,raw_vx,raw_vy,raw_wz,enc_dist_m,imu_yaw_deg,imu_heading_deg,kf_x,kf_y,kf_yaw_deg,opt_x,opt_y,opt_yaw_deg,lateral_err_m,heading_err_deg,event
0.051,0,WARMUP,0.051,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.0,0.0,0.0000,0.0000,0.00,-0.0000,-0.0000,-0.04,0.0000,0.00,
0.102,0,WARMUP,0.102,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.0,0.0,0.0000,0.0000,0.00,-0.0000,-0.0000,-0.05,0.0000,0.00,
0.152,0,WARMUP,0.152,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.0,0.0,0.0000,0.0000,0.00,-0.0001,-0.0000,0.01,0.0000,0.00,
0.203,0,WARMUP,0.203,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.0,0.0,0.0000,0.0000,0.00,-0.0000,-0.0000,0.02,0.0000,0.00,
0.251,0,WARMUP,0.252,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.0,0.0,0.0000,0.0000,0.00,-0.0001,-0.0001,0.02,0.0000,0.00,
0.302,0,WARMUP,0.302,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0000,0.0000,0.00,-0.0001,-0.0001,0.02,0.0000,0.00,
0.351,0,WARMUP,0.352,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0000,0.0000,0.00,-0.0001,-0.0001,0.02,0.0000,0.00,
0.402,0,WARMUP,0.402,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0000,0.0000,0.00,0.0002,0.0001,-0.10,0.0000,0.00,
0.453,0,WARMUP,0.453,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0000,0.0000,0.00,0.0002,0.0001,-0.12,0.0000,0.00,
0.501,0,WARMUP,0.502,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0000,0.0000,0.00,0.0002,0.0001,-0.09,0.0000,0.00,
