t_s,leg,state,phase_elapsed_s,cmd_vx,cmd_vy,cmd_wz,raw_vx,raw_vy,raw_wz,enc_dist_m,imu_yaw_deg,imu_heading_deg,kf_x,kf_y,kf_yaw_deg,opt_x,opt_y,opt_yaw_deg,lateral_err_m,heading_err_deg,event
0.051,0,WARMUP,0.052,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.0,0.0,-0.0000,0.0000,0.07,-0.0000,0.0000,0.10,0.0000,0.07,
0.101,0,WARMUP,0.102,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.0,0.0,-0.0001,0.0000,0.08,-0.0000,0.0001,0.11,0.0000,0.08,
0.151,0,WARMUP,0.151,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.0,0.0,-0.0000,0.0000,0.07,-0.0001,0.0000,0.11,0.0000,0.07,
0.201,0,WARMUP,0.201,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.0,0.0,-0.0001,0.0000,0.08,-0.0001,0.0000,0.08,0.0000,0.08,
0.251,0,WARMUP,0.251,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.0,0.0,-0.0000,0.0000,0.06,0.0000,0.0000,0.01,0.0000,0.06,
0.302,0,WARMUP,0.302,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.0000,0.0000,0.01,0.0000,0.0000,0.01,0.0000,0.01,
0.351,0,WARMUP,0.351,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.0000,0.0000,0.07,-0.0001,0.0000,0.09,0.0000,0.07,
0.402,0,WARMUP,0.402,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.0001,0.0000,0.10,-0.0000,0.0000,0.06,0.0000,0.10,
0.452,0,WARMUP,0.452,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.0000,0.0000,0.09,-0.0001,0.0000,0.12,0.0000,0.09,
0.502,0,WARMUP,0.503,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.0001,0.0000,0.11,-0.0001,0.0000,0.07,0.0000,0.11,
0.552,0,WARMUP,0.552,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.0000,0.0000,0.07,-0.0000,0.0001,0.11,0.0000,0.07,
0.601,0,WARMUP,0.601,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.0000,0.0000,0.01,-0.0000,0.0001,0.11,0.0000,0.01,
0.652,0,WARMUP,0.652,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.0001,0.0000,0.08,-0.0001,-0.0000,0.04,0.0000,0.08,
0.701,0,WARMUP,0.702,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.0001,0.0000,0.11,-0.0001,0.0000,0.15,0.0000,0.11,
0.752,0,WARMUP,0.752,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.0000,0.0000,0.09,-0.0001,0.0000,0.11,0.0000,0.09,
0.804,0,WARMUP,0.805,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.0001,0.0000,0.10,-0.0001,0.0000,0.14,0.0000,0.10,FIN_WARMUP
0.805,0,DRIVE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.0001,0.0000,0.10,-0.0001,0.0000,0.14,0.0000,0.00,
0.852,0,DRIVE,0.047,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.0000,0.0000,0.08,-0.0000,0.0000,0.05,-0.0000,-0.02,
0.901,0,DRIVE,0.097,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.0000,0.0000,0.07,-0.0000,0.0000,0.05,-0.0000,-0.03,
0.952,0,DRIVE,0.147,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.0000,0.0000,0.08,-0.0000,-0.0000,0.02,-0.0000,-0.02,
1.002,0,DRIVE,0.198,0.200,0.000,0.001,0.000,0.000,0.000,0.000,0.0,0.0,-0.0000,-0.0000,0.03,-0.0000,-0.0000,0.04,-0.0000,-0.07,
1.053,0,DRIVE,0.249,0.200,0.000,0.001,0.000,0.000,0.000,0.000,0.0,0.0,-0.0000,-0.0000,0.00,-0.0000,-0.0000,0.04,-0.0000,-0.10,
1.102,0,DRIVE,0.298,0.200,0.000,-0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.0001,0.0000,0.12,-0.0001,-0.0000,0.12,-0.0000,0.02,
1.151,0,DRIVE,0.347,0.200,0.000,0.002,0.000,0.000,0.000,0.000,0.0,0.0,0.0002,-0.0001,-0.07,0.0005,-0.0001,-0.24,-0.0001,-0.17,
1.202,0,DRIVE,0.397,0.200,0.000,0.002,0.000,0.000,0.000,0.000,0.0,0.0,0.0000,-0.0000,-0.01,0.0005,-0.0001,-0.24,-0.0000,-0.11,
1.252,0,DRIVE,0.447,0.200,0.000,0.004,0.000,0.000,0.000,0.000,0.0,0.0,0.0007,0.0001,-0.20,0.0008,0.0002,-0.15,0.0000,-0.30,
1.303,0,DRIVE,0.498,0.200,0.000,0.005,0.000,0.000,0.000,0.000,0.0,0.0,0.0014,0.0003,-0.24,0.0024,0.0007,-0.33,0.0002,-0.34,
1.351,0,DRIVE,0.546,0.200,0.000,0.006,0.000,0.000,0.000,0.000,0.0,0.0,0.0025,0.0007,-0.32,0.0028,0.0007,-0.25,0.0006,-0.42,
1.402,0,DRIVE,0.597,0.200,0.000,0.005,0.000,0.000,0.000,0.000,0.0,0.0,0.0026,0.0007,-0.29,0.0026,0.0006,-0.34,0.0007,-0.39,
1.451,0,DRIVE,0.646,0.200,0.000,0.006,0.000,0.000,0.000,0.000,0.0,0.0,0.0027,0.0007,-0.32,0.0030,0.0007,-0.30,0.0007,-0.42,
1.501,0,DRIVE,0.696,0.200,0.000,0.002,0.000,0.000,0.000,0.000,0.0,0.0,0.0004,0.0001,-0.05,0.0030,0.0007,-0.30,0.0001,-0.14,
1.553,0,DRIVE,0.748,0.200,0.000,0.004,0.000,0.000,0.000,0.000,0.0,0.0,0.0028,0.0007,-0.21,0.0032,0.0008,-0.28,0.0006,-0.31,
1.601,0,DRIVE,0.796,0.200,0.000,0.004,0.000,0.000,0.000,0.000,0.0,0.0,0.0045,0.0014,-0.22,0.0047,0.0015,-0.10,0.0013,-0.32,
1.652,0,DRIVE,0.848,0.200,0.000,0.006,0.000,0.000,0.000,0.000,0.0,0.0,0.0049,0.0014,-0.33,0.0057,0.0015,-0.45,0.0013,-0.43,
1.702,0,DRIVE,0.897,0.200,0.000,0.006,0.000,0.000,0.000,0.000,0.0,0.0,0.0070,0.0021,-0.32,0.0085,0.0026,-0.29,0.0020,-0.42,
1.752,0,DRIVE,0.947,0.200,0.000,0.004,0.000,0.000,0.000,0.000,0.0,0.0,0.0095,0.0030,-0.19,0.0108,0.0033,-0.28,0.0029,-0.29,
1.803,0,DRIVE,0.998,0.200,0.000,0.002,0.000,0.000,0.000,0.000,0.0,0.0,0.0014,0.0004,-0.03,0.0108,0.0033,-0.28,0.0004,-0.13,
1.851,0,DRIVE,1.047,0.200,0.000,0.001,0.000,0.000,0.000,0.000,0.0,0.0,0.0002,0.0001,-0.00,0.0108,0.0033,-0.28,0.0000,-0.10,
1.902,0,DRIVE,1.097,0.200,0.000,0.001,0.000,0.000,0.000,0.000,0.0,0.0,0.0000,0.0000,-0.00,0.0108,0.0033,-0.28,-0.0000,-0.10,
1.955,0,DRIVE,1.150,0.200,0.000,0.005,0.000,0.000,0.000,0.000,0.0,0.0,0.0227,0.0066,-0.23,0.0332,0.0096,-0.19,0.0065,-0.33,
2.001,0,DRIVE,1.197,0.200,0.000,0.003,0.000,0.000,0.000,0.000,0.0,0.0,0.0359,0.0102,-0.09,0.0401,0.0114,-0.01,0.0101,-0.19,
2.053,0,DRIVE,1.248,0.200,0.000,0.001,0.000,0.000,0.000,0.000,0.0,0.0,0.0460,0.0131,0.03,0.0525,0.0151,-0.10,0.0129,-0.07,
2.102,0,DRIVE,1.297,0.200,0.000,0.002,0.000,0.000,0.000,0.000,0.0,0.0,0.0564,0.0161,-0.07,0.0622,0.0177,0.03,0.0160,-0.17,
2.152,0,DRIVE,1.347,0.200,0.000,0.002,0.000,0.000,0.000,0.000,0.0,0.0,0.0113,0.0032,-0.01,0.0622,0.0177,0.03,0.0032,-0.11,
2.201,0,DRIVE,1.397,0.200,0.000,0.001,0.000,0.000,0.000,0.000,0.0,0.0,0.0019,0.0006,-0.00,0.0622,0.0177,0.03,0.0005,-0.10,
2.252,0,DRIVE,1.447,0.200,0.000,0.001,0.000,0.000,0.000,0.000,0.0,0.0,0.0002,0.0001,-0.00,0.0622,0.0177,0.03,0.0000,-0.10,
2.303,0,DRIVE,1.498,0.200,0.000,0.001,0.000,0.000,0.000,0.000,0.0,0.0,0.0656,0.0187,0.01,0.0732,0.0211,0.01,0.0186,-0.09,
2.351,0,DRIVE,1.547,0.200,0.000,-0.001,0.000,0.000,0.000,0.000,0.0,0.0,0.0817,0.0237,0.20,0.0923,0.0269,0.09,0.0236,0.10,
2.402,0,DRIVE,1.597,0.200,0.000,-0.001,0.000,0.000,0.000,0.000,0.0,0.0,0.0960,0.0278,0.17,0.1011,0.0291,0.27,0.0276,0.07,
2.452,0,DRIVE,1.647,0.200,0.000,-0.002,0.000,0.000,0.000,0.000,0.0,0.0,0.0958,0.0276,0.24,0.1036,0.0298,0.33,0.0274,0.14,
