t_s,leg,state,phase_elapsed_s,cmd_vx,cmd_vy,cmd_wz,raw_vx,raw_vy,raw_wz,enc_dist_m,imu_yaw_deg,imu_heading_deg,kf_x,kf_y,kf_yaw_deg,opt_x,opt_y,opt_yaw_deg,lateral_err_m,heading_err_deg,event
0.051,0,WARMUP,0.052,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.0,0.0,0.0000,-0.0000,-0.03,0.0000,0.0000,-0.01,-0.0000,0.00,
0.101,0,WARMUP,0.101,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.0,0.0,0.0000,-0.0000,-0.04,-0.0000,-0.0001,-0.10,-0.0000,0.00,
0.151,0,WARMUP,0.151,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.0,0.0,-0.0000,-0.0000,0.02,-0.0001,-0.0001,-0.01,-0.0000,0.00,
0.202,0,WARMUP,0.203,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.0,0.0,-0.0002,-0.0001,0.08,-0.0001,-0.0001,0.08,-0.0001,0.00,
0.251,0,WARMUP,0.251,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.0,0.0,-0.0001,-0.0001,0.14,-0.0001,-0.0001,0.17,-0.0001,0.00,
0.301,0,WARMUP,0.302,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.0000,-0.0000,0.03,-0.0001,-0.0001,0.17,-0.0000,0.00,
0.351,0,WARMUP,0.351,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.0000,-0.0000,0.00,-0.0001,-0.0001,0.17,-0.0000,0.00,
0.402,0,WARMUP,0.402,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.0001,-0.0000,0.20,-0.0002,-0.0000,0.18,-0.0000,0.00,
0.452,0,WARMUP,0.453,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.0003,-0.0000,0.32,-0.0003,-0.0000,0.38,-0.0000,0.00,
0.501,0,WARMUP,0.501,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.0004,0.0000,0.39,-0.0004,-0.0000,0.40,0.0000,0.00,
0.551,0,WARMUP,0.551,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.0003,0.0000,0.38,-0.0003,-0.0000,0.40,0.0000,0.00,
0.601,0,WARMUP,0.602,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.0001,0.0000,0.07,-0.0003,-0.0000,0.40,0.0000,0.00,
0.651,0,WARMUP,0.651,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.0000,0.0000,0.01,-0.0003,-0.0000,0.40,0.0000,0.00,
0.702,0,WARMUP,0.702,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.0000,0.0000,0.00,-0.0003,-0.0000,0.40,0.0000,0.00,
