t_s,rep,state,elapsed_s,cmd_wz,opt_dyaw_deg,imu_yaw_deg,kf_dyaw_deg,kf_err_deg,event
0.056,0,WAIT,0.056,0.0000,0.00,0.00,0.00,0.00,
0.102,0,WAIT,0.102,0.0000,0.00,0.00,0.00,0.00,
0.152,0,WAIT,0.152,0.0000,0.00,0.00,0.00,0.00,
0.205,0,SPIN,0.001,0.0000,0.00,0.00,0.00,0.00,
0.252,0,SPIN,0.048,1.0000,0.01,0.00,0.00,-0.01,
0.305,0,SPIN,0.100,1.0000,0.01,0.00,3.01,3.00,
0.352,0,SPIN,0.148,1.0000,0.01,0.00,5.74,5.73,
0.402,0,SPIN,0.198,1.0000,0.01,0.00,8.60,8.60,
0.454,0,SPIN,0.249,1.0000,0.01,0.00,11.54,11.53,
0.502,0,SPIN,0.298,1.0000,-0.01,0.00,14.34,14.35,
0.552,0,SPIN,0.348,1.0000,-0.01,0.00,17.20,17.21,
0.602,0,SPIN,0.398,1.0000,-0.01,0.00,20.07,20.08,
0.654,0,SPIN,0.450,1.0000,0.00,0.00,23.02,23.02,
0.702,0,SPIN,0.498,1.0000,0.00,0.00,25.80,25.80,
0.752,0,SPIN,0.548,1.0000,0.00,0.00,28.66,28.66,
0.802,0,SPIN,0.598,1.0000,0.00,0.00,31.52,31.52,
0.852,0,SPIN,0.648,1.0000,0.00,0.00,34.39,34.38,
0.902,0,SPIN,0.698,1.0000,0.01,0.00,37.27,37.26,
0.952,0,SPIN,0.748,1.0000,0.01,0.00,40.12,40.12,
1.003,0,SPIN,0.799,1.0000,0.01,0.00,43.03,43.02,
1.052,0,SPIN,0.848,1.0000,0.01,0.00,45.85,45.85,
1.102,0,SPIN,0.898,1.0000,0.01,0.00,48.72,48.71,
1.152,0,SPIN,0.948,1.0000,-0.00,0.00,51.58,51.58,
1.203,0,SPIN,0.999,1.0000,-0.00,0.00,54.47,54.48,
1.252,0,SPIN,1.048,1.0000,-0.00,0.00,57.32,57.32,
1.304,0,SPIN,1.100,1.0000,-0.00,0.00,60.27,60.27,
1.352,0,SPIN,1.148,1.0000,0.01,0.00,63.03,63.02,
1.402,0,SPIN,1.198,1.0000,0.01,0.00,65.91,65.90,
1.453,0,SPIN,1.248,1.0000,0.00,0.00,68.78,68.78,
1.505,0,SPIN,1.300,1.0000,0.00,0.00,71.76,71.76,
1.554,0,SPIN,1.350,1.0000,0.00,0.00,74.58,74.58,
1.603,0,SPIN,1.399,1.0000,-0.00,0.00,77.42,77.42,
1.653,0,SPIN,1.449,1.0000,-0.01,0.00,80.25,80.26,
1.702,0,SPIN,1.498,1.0000,0.02,0.00,83.09,83.07,
1.752,0,SPIN,1.548,1.0000,-0.00,0.00,85.95,85.96,
1.802,0,SPIN,1.598,1.0000,0.00,0.00,88.82,88.82,
1.852,0,SPIN,1.648,1.0000,0.00,0.00,91.68,91.68,
1.905,0,SPIN,1.701,1.0000,0.03,0.00,94.71,94.68,
1.953,0,SPIN,1.749,1.0000,-0.01,0.00,97.47,97.48,
2.002,0,SPIN,1.798,1.0000,0.01,0.00,100.28,100.27,
2.052,0,SPIN,1.848,1.0000,-0.01,0.00,103.14,103.15,
2.102,0,SPIN,1.898,1.0000,-0.00,0.00,106.01,106.01,
2.152,0,SPIN,1.948,1.0000,-0.00,0.00,108.87,108.87,
2.202,0,SPIN,1.998,1.0000,-0.00,0.00,111.74,111.74,
2.253,0,SPIN,2.049,1.0000,0.01,0.00,114.65,114.64,
2.302,0,SPIN,2.098,1.0000,0.01,0.00,117.47,117.46,
2.352,0,SPIN,2.148,1.0000,-0.01,0.00,120.33,120.34,
2.403,0,SPIN,2.199,1.0000,0.03,0.00,123.26,123.24,
2.452,0,SPIN,2.248,1.0000,-0.00,0.00,126.06,126.06,
2.503,0,SPIN,2.299,1.0000,-0.00,0.00,128.96,128.96,
2.552,0,SPIN,2.348,1.0000,-0.00,0.00,131.79,131.79,
2.604,0,SPIN,2.399,1.0000,-0.01,0.00,134.73,134.74,
2.653,0,SPIN,2.448,1.0000,-0.01,0.00,137.55,137.56,
2.702,0,SPIN,2.498,1.0000,0.02,0.00,140.39,140.37,
2.755,0,SPIN,2.550,0.0000,0.00,0.00,143.25,143.25,FIN_SPIN_rep0
2.756,0,COAST,0.001,0.0000,0.00,0.00,143.25,143.25,
2.802,0,COAST,0.047,0.0000,0.00,0.00,143.25,143.24,
2.852,0,COAST,0.097,0.0000,0.00,0.00,143.25,143.24,
2.903,0,COAST,0.147,0.0000,0.00,0.00,143.25,143.24,
2.953,0,COAST,0.197,0.0000,-0.01,0.00,143.25,143.25,
3.004,0,COAST,0.249,0.0000,0.02,0.00,143.25,143.23,
3.052,0,COAST,0.297,0.0000,-0.01,0.00,143.25,143.25,
3.102,0,COAST,0.347,0.0000,0.02,0.00,143.25,143.22,
3.152,0,COAST,0.397,0.0000,0.01,0.00,143.25,143.24,
3.202,0,COAST,0.447,0.0000,0.01,0.00,143.25,143.24,
3.252,0,COAST,0.497,0.0000,0.01,0.00,143.25,143.24,
3.303,0,COAST,0.548,0.0000,0.02,0.00,143.25,143.23,
3.352,0,COAST,0.597,0.0000,-0.01,0.00,143.25,143.25,
3.402,0,COAST,0.647,0.0000,0.03,0.00,143.25,143.22,
3.453,0,COAST,0.698,0.0000,-0.01,0.00,143.25,143.26,
3.502,0,COAST,0.747,0.0000,0.03,0.00,143.25,143.22,
3.552,0,COAST,0.797,0.0000,0.03,0.00,143.25,143.22,
3.602,0,COAST,0.847,0.0000,0.03,0.00,143.25,143.22,
3.652,0,COAST,0.897,0.0000,-0.00,0.00,143.25,143.25,
3.702,0,COAST,0.947,0.0000,0.02,0.00,143.25,143.23,
3.752,0,COAST,0.997,0.0000,-0.01,0.00,143.25,143.25,
3.803,0,COAST,1.047,0.0000,0.01,0.00,143.25,143.24,
3.852,0,COAST,1.097,0.0000,-0.01,0.00,143.25,143.26,
3.902,0,COAST,1.147,0.0000,-0.01,0.00,143.25,143.26,
3.952,0,COAST,1.197,0.0000,-0.01,0.00,143.25,143.26,
4.002,0,COAST,1.247,0.0000,0.01,0.00,143.25,143.24,
4.054,0,COAST,1.299,0.0000,-0.01,0.00,143.25,143.26,
4.103,0,COAST,1.348,0.0000,0.01,0.00,143.25,143.24,
4.152,0,COAST,1.397,0.0000,-0.02,0.00,143.25,143.26,
4.202,0,COAST,1.447,0.0000,0.02,0.00,143.25,143.23,
4.252,0,COAST,1.497,0.0000,0.02,0.00,143.25,143.23,
4.302,0,COAST,1.547,0.0000,0.02,0.00,143.25,143.23,
4.352,0,COAST,1.597,0.0000,-0.00,0.00,143.25,143.25,
4.403,0,COAST,1.648,0.0000,-0.00,0.00,143.25,143.25,
4.452,0,COAST,1.697,0.0000,-0.00,0.00,143.25,143.25,
4.502,0,COAST,1.747,0.0000,0.02,0.00,143.25,143.23,
4.552,0,COAST,1.797,0.0000,-0.01,0.00,143.25,143.25,
4.602,0,COAST,1.847,0.0000,-0.01,0.00,143.25,143.25,
4.652,0,COAST,1.897,0.0000,-0.01,0.00,143.25,143.25,
4.703,0,COAST,1.948,0.0000,0.02,0.00,143.25,143.23,
4.752,0,COAST,1.997,0.0000,-0.01,0.00,143.25,143.26,
4.805,0,COAST,2.050,0.0000,0.03,0.00,143.25,143.22,FIN_COAST_rep0
4.808,1,PAUSE,0.001,0.0000,0.03,0.00,143.25,143.22,
4.853,1,PAUSE,0.045,0.0000,-0.01,0.00,143.25,143.26,
4.902,1,PAUSE,0.095,0.0000,0.01,0.00,143.25,143.24,
4.952,1,PAUSE,0.145,0.0000,0.01,0.00,143.25,143.24,
5.002,1,PAUSE,0.195,0.0000,0.01,0.00,143.25,143.24,
5.052,1,PAUSE,0.245,0.0000,0.01,0.00,143.25,143.24,
5.102,1,PAUSE,0.295,0.0000,0.02,0.00,143.25,143.23,
5.152,1,PAUSE,0.345,0.0000,-0.00,0.00,143.25,143.25,
5.202,1,PAUSE,0.395,0.0000,0.00,0.00,143.25,143.25,
5.252,1,PAUSE,0.445,0.0000,0.00,0.00,143.25,143.25,
5.302,1,PAUSE,0.495,0.0000,0.00,0.00,143.25,143.25,
5.354,1,PAUSE,0.546,0.0000,0.00,0.00,143.25,143.25,
5.402,1,PAUSE,0.595,0.0000,0.00,0.00,143.25,143.25,
5.454,1,PAUSE,0.646,0.0000,-0.02,0.00,143.25,143.27,
5.503,1,PAUSE,0.696,0.0000,0.01,0.00,143.25,143.24,
5.552,1,PAUSE,0.745,0.0000,-0.01,0.00,143.25,143.26,
5.603,1,PAUSE,0.796,0.0000,0.01,0.00,143.25,143.24,
5.652,1,PAUSE,0.845,0.0000,0.01,0.00,143.25,143.24,
5.702,1,PAUSE,0.895,0.0000,0.01,0.00,143.25,143.24,
5.754,1,PAUSE,0.946,0.0000,-0.00,0.00,143.25,143.25,
5.802,1,PAUSE,0.995,0.0000,0.01,0.00,143.25,143.24,
5.852,1,PAUSE,1.045,0.0000,-0.01,0.00,143.25,143.26,
5.904,1,PAUSE,1.097,0.0000,0.02,0.00,143.25,143.23,
5.952,1,PAUSE,1.145,0.0000,-0.02,0.00,143.25,143.27,
6.002,1,PAUSE,1.195,0.0000,-0.02,0.00,143.25,143.27,
6.052,1,PAUSE,1.245,0.0000,-0.02,0.00,143.25,143.27,
6.102,1,PAUSE,1.295,0.0000,-0.02,0.00,143.25,143.27,
6.152,1,PAUSE,1.345,0.0000,-0.01,0.00,143.25,143.26,
6.202,1,PAUSE,1.395,0.0000,0.01,0.00,143.25,143.24,
6.252,1,PAUSE,1.445,0.0000,-0.02,0.00,143.25,143.27,
6.303,1,PAUSE,1.495,0.0000,0.02,0.00,143.25,143.23,
6.352,1,PAUSE,1.545,0.0000,0.01,0.00,143.25,143.24,
6.403,1,PAUSE,1.596,0.0000,0.01,0.00,143.25,143.24,
6.453,1,PAUSE,1.645,0.0000,0.01,0.00,143.25,143.24,
6.502,1,PAUSE,1.695,0.0000,0.02,0.00,143.25,143.23,
6.552,1,PAUSE,1.745,0.0000,-0.01,0.00,143.25,143.25,
6.603,1,PAUSE,1.796,0.0000,0.02,0.00,143.25,143.23,
6.653,1,PAUSE,1.846,0.0000,-0.02,0.00,143.25,143.26,
6.702,1,PAUSE,1.895,0.0000,-0.02,0.00,143.25,143.26,
6.752,1,PAUSE,1.945,0.0000,-0.02,0.00,143.25,143.26,
6.803,1,PAUSE,1.996,0.0000,0.02,0.00,143.25,143.23,
6.854,1,PAUSE,2.047,0.0000,-0.02,0.00,143.25,143.27,
6.902,1,PAUSE,2.095,0.0000,0.01,0.00,143.25,143.23,
6.953,1,PAUSE,2.146,0.0000,0.00,0.00,143.25,143.25,
7.002,1,PAUSE,2.195,0.0000,0.01,0.00,143.25,143.24,
7.052,1,PAUSE,2.245,0.0000,0.01,0.00,143.25,143.24,
7.102,1,PAUSE,2.295,0.0000,0.01,0.00,143.25,143.24,
7.152,1,PAUSE,2.345,0.0000,0.01,0.00,143.25,143.24,
7.203,1,PAUSE,2.396,0.0000,0.01,0.00,143.25,143.24,
7.253,1,PAUSE,2.446,0.0000,-0.02,0.00,143.25,143.26,
7.302,1,PAUSE,2.495,0.0000,0.01,0.00,143.25,143.24,
7.352,1,PAUSE,2.545,0.0000,-0.01,0.00,143.25,143.26,
7.402,1,PAUSE,2.595,0.0000,-0.02,0.00,143.25,143.26,
7.453,1,PAUSE,2.646,0.0000,-0.02,0.00,143.25,143.26,
7.503,1,PAUSE,2.696,0.0000,0.00,0.00,143.25,143.24,
7.553,1,PAUSE,2.745,0.0000,0.01,0.00,143.25,143.24,
7.602,1,PAUSE,2.795,0.0000,0.00,0.00,143.25,143.25,
