t_s,leg,state,phase_elapsed_s,cmd_vx,cmd_vy,cmd_wz,raw_vx,raw_vy,raw_wz,est_x,est_y,est_yaw_deg,event
0.051,0,WARMUP,0.051,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.0,
0.102,0,WARMUP,0.102,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.0,
0.151,0,WARMUP,0.151,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.000,0.0,
0.203,0,WARMUP,0.203,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.000,0.0,
0.252,0,WARMUP,0.252,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.000,0.0,
0.302,0,WARMUP,0.302,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.352,0,WARMUP,0.352,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.401,0,WARMUP,0.401,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.451,0,WARMUP,0.452,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.501,0,WARMUP,0.501,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.551,0,WARMUP,0.551,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.601,0,WARMUP,0.601,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.651,0,WARMUP,0.651,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.702,0,WARMUP,0.703,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.751,0,WARMUP,0.751,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.803,0,WARMUP,0.803,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,FIN_WARMUP
0.804,0,DRIVE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.851,0,DRIVE,0.048,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.903,0,DRIVE,0.099,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.953,0,DRIVE,0.149,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
1.002,0,DRIVE,0.199,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
1.051,0,DRIVE,0.248,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
1.101,0,DRIVE,0.298,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
1.153,0,DRIVE,0.349,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
1.202,0,DRIVE,0.398,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
1.251,0,DRIVE,0.448,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
