t_s,leg,state,phase_elapsed_s,cmd_vx,cmd_vy,cmd_wz,raw_vx,raw_vy,raw_wz,enc_dist_m,imu_yaw_deg,imu_heading_deg,kf_x,kf_y,kf_yaw_deg,opt_x,opt_y,opt_yaw_deg,lateral_err_m,heading_err_deg,event
0.051,0,WARMUP,0.051,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.0,0.0,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.00,
0.101,0,WARMUP,0.101,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.0,0.0,0.0000,0.0000,1.08,0.0000,0.0000,0.00,0.0000,0.00,
0.151,0,WARMUP,0.151,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.0,0.0,0.0000,0.0000,1.08,0.0000,0.0000,0.00,0.0000,0.01,
0.201,0,WARMUP,0.202,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.0,0.0,0.0000,0.0000,1.08,0.0000,0.0000,0.00,0.0000,0.04,
0.253,0,WARMUP,0.253,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.0,0.0,0.0000,0.0000,1.08,0.0000,0.0000,0.00,0.0000,0.04,
0.302,0,WARMUP,0.302,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0000,0.0000,1.08,0.0000,0.0000,0.00,0.0000,0.04,
0.352,0,WARMUP,0.352,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.1,0.0000,0.0000,1.08,0.0000,0.0000,0.00,0.0000,0.05,
0.402,0,WARMUP,0.403,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.1,0.0000,0.0000,1.08,0.0000,0.0000,0.00,0.0000,0.05,
0.452,0,WARMUP,0.452,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.1,0.0000,0.0000,1.08,0.0000,0.0000,0.00,0.0000,0.05,
0.502,0,WARMUP,0.502,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.1,0.0000,0.0000,1.08,0.0000,0.0000,0.00,0.0000,0.05,
0.552,0,WARMUP,0.552,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.1,0.0000,0.0000,1.08,0.0000,0.0000,0.00,0.0000,0.05,
