t_s,leg,state,phase_elapsed_s,cmd_vx,cmd_vy,cmd_wz,raw_vx,raw_vy,raw_wz,enc_dist_m,imu_yaw_deg,imu_heading_deg,kf_x,kf_y,kf_yaw_deg,opt_x,opt_y,opt_yaw_deg,lateral_err_m,heading_err_deg,event
0.051,0,WARMUP,0.051,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.0,0.0,-0.0000,0.0000,-0.00,0.0000,-0.0000,-0.01,0.0000,-0.00,
0.101,0,WARMUP,0.101,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.0,0.0,-0.0000,0.0000,-0.00,-0.0000,0.0000,-0.01,0.0000,-0.00,
0.152,0,WARMUP,0.152,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.0,0.0,-0.0000,0.0000,-0.00,-0.0000,-0.0000,-0.01,0.0000,-0.00,
0.201,0,WARMUP,0.202,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.0,0.0,-0.0000,0.0000,-0.00,-0.0000,0.0000,-0.01,0.0000,-0.00,
0.251,0,WARMUP,0.251,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.0,0.0,0.0000,0.0000,-0.00,0.0000,0.0000,0.00,0.0000,-0.00,
0.302,0,WARMUP,0.302,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0000,0.0000,-0.01,-0.0000,0.0000,-0.03,0.0000,-0.01,
0.353,0,WARMUP,0.353,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0000,0.0000,-0.02,0.0000,0.0000,-0.03,0.0000,-0.02,
0.401,0,WARMUP,0.402,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0000,0.0000,-0.01,0.0000,0.0000,-0.03,0.0000,-0.01,
0.453,0,WARMUP,0.454,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.0000,-0.0000,0.03,-0.0000,-0.0000,0.09,-0.0000,0.03,
0.502,0,WARMUP,0.502,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.0000,-0.0000,0.05,-0.0000,0.0000,0.07,-0.0000,0.05,
0.551,0,WARMUP,0.551,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.0000,-0.0000,0.04,-0.0000,-0.0000,0.04,-0.0000,0.04,
0.602,0,WARMUP,0.602,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.0000,-0.0000,0.03,-0.0000,-0.0000,0.05,-0.0000,0.03,
0.652,0,WARMUP,0.652,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.0000,-0.0000,0.04,-0.0000,-0.0000,0.05,-0.0000,0.04,
0.702,0,WARMUP,0.702,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.0000,-0.0000,0.04,-0.0000,-0.0000,0.06,-0.0000,0.04,
0.751,0,WARMUP,0.752,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.0000,-0.0000,0.04,-0.0000,-0.0000,0.05,-0.0000,0.04,
0.803,0,WARMUP,0.804,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.0000,-0.0000,0.03,-0.0000,-0.0000,0.03,-0.0000,0.03,FIN_WARMUP
